"","seqnames","start","end","width","strand","Conc","Conc_treated","Conc_untreated","Fold","p.value","FDR"
"8926","13",98650342,98650742,401,"*",5.14701599611471,6.14701599611471,0,7.71803987973537,1.51522518090454e-11,1.21732729455472e-08
"29091","7",47763298,47763698,401,"*",5.11342274423815,6.11342274423815,0,7.69184818348629,1.54444918467109e-11,1.21732729455472e-08
"28568","7",23465442,23465842,401,"*",5.76417004014566,6.75319176203917,0,6.77856915472309,1.61329711951299e-11,1.21732729455472e-08
"9893","14",75459027,75459427,401,"*",5.09475761380023,6.09475761380023,0,7.67412759414372,1.79308730231379e-11,1.21732729455472e-08
"22467","3",188817618,188818018,401,"*",5.09402989951568,6.09402989951568,0,7.67167203179525,1.8311574225391e-11,1.21732729455472e-08
"10160","14",101772803,101773203,401,"*",5.07933275824482,6.07933275824482,0,7.66038452292594,1.92350223408978e-11,1.21732729455472e-08
"15542","2",27021359,27021759,401,"*",5.07624267419743,6.07624267419743,0,7.65569878616785,2.02720185459725e-11,1.21732729455472e-08
"29692","7",101729397,101729797,401,"*",5.1842139997124,0,6.1842139997124,-7.68728336814928,2.05268254313026e-11,1.21732729455472e-08
"15878","2",43130972,43131372,401,"*",5.15292782263001,0,6.15292782263001,-7.66684911249189,2.08969428617607e-11,1.21732729455472e-08
"16453","2",74458154,74458554,401,"*",5.23446635175894,0,6.23446635175894,-7.71506613972228,2.43921348578347e-11,1.35737657221065e-08
"31417","8",117811115,117811515,401,"*",5.06386529921908,6.06386529921908,0,7.63846320141713,2.54772366619881e-11,1.35737657221065e-08
"6043","11",67508019,67508419,401,"*",5.07486423329168,6.07486423329168,0,7.64821681393674,2.59896478239198e-11,1.35737657221065e-08
"29189","7",54946311,54946711,401,"*",5.04085172601681,6.04085172601681,0,7.61773128306099,2.92196602373504e-11,1.38860499969185e-08
"982","1",63920507,63920907,401,"*",5.06655133391262,6.06655133391262,0,7.63494951674293,2.93125389134651e-11,1.38860499969185e-08
"28923","7",41579979,41580379,401,"*",5.05234778275721,6.05234778275721,0,7.62595424265232,2.93380166315457e-11,1.38860499969185e-08
"12532","17",18946576,18946976,401,"*",5.02569616325131,6.02569616325131,0,7.60535265040422,3.17625897029947e-11,1.41611837882899e-08
"5461","11",34640254,34640654,401,"*",5.038768525205,6.038768525205,0,7.61299925467371,3.17892677143705e-11,1.41611837882899e-08
"29663","7",100586301,100586701,401,"*",5.18071155597046,0,6.18071155597046,-7.66794134175381,3.27526626017576e-11,1.41734807933206e-08
"28545","7",22667884,22668284,401,"*",5.00762523354947,6.00762523354947,0,7.58242336280978,3.99910026968574e-11,1.68251035235167e-08
"31608","8",126375413,126375813,401,"*",5.01084419519032,5.95794989216538,1.21496762929278,4.59350159481897,4.25865177783832e-11,1.73028190767999e-08
"25132","5",126354241,126354641,401,"*",5.02447267016373,6.02447267016373,0,7.59178342494175,4.3411271947603e-11,1.73028190767999e-08
"22408","3",186617004,186617404,401,"*",5.01723019737818,6.01723019737818,0,7.58013132024043,5.33089507800032e-11,2.07030094490751e-08
"8513","13",33218001,33218401,401,"*",4.95596073848773,5.95596073848773,0,7.53452789424337,5.65623572129796e-11,2.14173365586947e-08
"13155","17",72151531,72151931,401,"*",4.95798245373032,5.95798245373032,0,7.52999717791749,6.42267576957201e-11,2.37263041965702e-08
"15265","2",11753425,11753825,401,"*",4.9333654142197,5.9333654142197,0,7.51194242959884,6.6078720884941e-11,2.38292453934123e-08
"31973","8",144508049,144508449,401,"*",4.9159663359266,5.9159663359266,0,7.49903058145085,6.81637528741385e-11,2.40094930472489e-08
"19914","22",35357929,35358329,401,"*",4.93641450881176,0,5.93641450881176,-7.46619680165059,7.7014523437693e-11,2.65104993633477e-08
"10246","14",103540534,103540934,401,"*",5.05298281731205,6.05298281731205,0,7.58642904573353,8.31848471804182e-11,2.7681559654393e-08
"14965","19",55352019,55352419,401,"*",4.92928024712519,0,5.92928024712519,-7.45741055457166,8.4071817252217e-11,2.7681559654393e-08
"15513","2",25977823,25978223,401,"*",5.07387016729904,0,6.07387016729904,-7.55293276073994,9.60370428536524e-11,3.07389795445251e-08
"13162","17",72407449,72407849,401,"*",4.86915030500967,5.86915030500967,0,7.454711910825,9.74165468200981e-11,3.07389795445251e-08
"28014","6",155247567,155247967,401,"*",4.84586732504068,5.84586732504068,0,7.43440289759018,1.04914734960543e-10,3.1911554908607e-08
"7455","12",46455784,46456184,401,"*",4.87272431141869,5.87272431141869,0,7.45222965365807,1.05346477316146e-10,3.1911554908607e-08
"14291","19",18380251,18380651,401,"*",5.13635558674153,0.895087599347201,6.09770102440287,-5.05146460915143,1.10942596602521e-10,3.29477758459174e-08
"22366","3",185537401,185537801,401,"*",4.85977035370868,5.85977035370868,0,7.44193004891601,1.13857455982762e-10,3.31631736214407e-08
"10255","14",103624847,103625247,401,"*",4.92389242900393,0,5.92389242900393,-7.44080542161566,1.18400905634157e-10,3.38358512591498e-08
"27680","6",134288728,134289128,401,"*",4.94136685561375,5.94136685561375,0,7.48894138230167,1.4031031582063e-10,3.93544452485048e-08
"31952","8",143986235,143986635,401,"*",4.81468879346874,5.81468879346874,0,7.39930248388925,1.46797851831821e-10,3.95483791765861e-08
"18147","2",223799462,223799862,401,"*",4.83762078475059,5.83762078475059,0,7.41439697071485,1.49793364914423e-10,3.95483791765861e-08
"62","1",3543228,3543628,401,"*",4.80706872069664,5.80706872069664,0,7.39382614274717,1.51066077194036e-10,3.95483791765861e-08
"28006","6",155127011,155127411,401,"*",4.83373852682644,5.83373852682644,0,7.41242324654124,1.51446321949161e-10,3.95483791765861e-08
"30447","7",158802684,158803084,401,"*",4.92679942264304,5.92679942264304,0,7.4748385066659,1.54966263923821e-10,3.97816785320373e-08
"27588","6",129312867,129313267,401,"*",4.77602148464109,5.77602148464109,0,7.36674091496188,1.74738756035189e-10,4.34811876472966e-08
"9699","14",68255892,68256292,401,"*",4.84057092344862,5.84057092344862,0,7.41045315657725,1.75119004785758e-10,4.34811876472966e-08
"5904","11",64876877,64877277,401,"*",4.76886382344715,5.76886382344715,0,7.35932758660809,1.8289440277294e-10,4.46185032774276e-08
"20076","22",39090444,39090844,401,"*",4.88250566671263,0,5.88250566671263,-7.39445947617285,1.8559129185778e-10,4.46185032774276e-08
"28628","7",26515501,26515901,401,"*",4.78410019620605,5.78410019620605,0,7.36685064177944,2.02665430848825e-10,4.68220339332872e-08
"33238","9",137188645,137189045,401,"*",4.77640478594718,5.77640478594718,0,7.36091704551592,2.02687556229007e-10,4.68220339332872e-08
"22737","4",474049,474449,401,"*",4.8051465604842,0,5.8051465604842,-7.33720455299506,2.05810334787698e-10,4.68220339332872e-08
"15926","2",44958890,44959290,401,"*",4.8235178918566,0,5.8235178918566,-7.34977055651741,2.07122426616285e-10,4.68220339332872e-08
"8913","13",98416336,98416736,401,"*",4.75643841669184,5.75643841669184,0,7.3448646958637,2.14205327532331e-10,4.77110866294807e-08
"6991","12",1605943,1606343,401,"*",4.77355516752155,5.77355516752155,0,7.35392811646709,2.22700769274446e-10,4.85304701940958e-08
"17505","2",173109256,173109656,401,"*",4.81134452170349,5.81134452170349,0,7.38063101723577,2.24292414735686e-10,4.85304701940958e-08
"28683","7",29109782,29110182,401,"*",4.7399522747199,5.7399522747199,0,7.32731730793882,2.45998392113646e-10,5.24109199135206e-08
"20258","22",46250101,46250501,401,"*",4.73765332245847,5.73765332245847,0,7.32684068151028,2.50257311769794e-10,5.24109199135206e-08
"3399","1",235079496,235079896,401,"*",4.73162179886912,5.73162179886912,0,7.31946145900388,2.59081853463872e-10,5.24109199135206e-08
"28586","7",24379219,24379619,401,"*",4.79392647327629,5.79392647327629,0,7.36192267583049,2.59120062468296e-10,5.24109199135206e-08
"3344","1",233635925,233636325,401,"*",4.72629711695954,5.72629711695954,0,7.31573278668942,2.61081317885441e-10,5.24109199135206e-08
"28979","7",44200713,44201113,401,"*",4.84447556609697,0,5.84447556609697,-7.35557194181752,2.62988902246637e-10,5.24109199135206e-08
"31970","8",144472293,144472693,401,"*",5.07509801392244,6.03032924159127,1.04264170595005,4.99577270793818,2.74214402259518e-10,5.27520511574024e-08
"21173","3",101036318,101036718,401,"*",4.84993985116731,5.84993985116731,0,7.39813809617508,2.76833983145257e-10,5.27520511574024e-08
"2942","1",208107948,208108348,401,"*",4.7555823013169,5.7555823013169,0,7.33343142497451,2.77002620808411e-10,5.27520511574024e-08
"22600","3",194158814,194159214,401,"*",4.77463534858556,5.77463534858556,0,7.34564228177366,2.78632252250904e-10,5.27520511574024e-08
"26353","6",13480810,13481210,401,"*",4.79128996643076,5.79128996643076,0,7.35681015300584,2.87016474222969e-10,5.36685372664331e-08
"26375","6",14732935,14733335,401,"*",4.70502796380859,5.70502796380859,0,7.29659342610247,2.92191026521698e-10,5.39698205816785e-08
"27775","6",138465003,138465403,401,"*",4.70654216609473,5.70654216609473,0,7.29709596533012,2.96010514089369e-10,5.40165692337058e-08
"29688","7",101608763,101609163,401,"*",4.72515956290279,5.72515956290279,0,7.31031603715345,3.07436991008612e-10,5.54338174501956e-08
"11876","16",66580584,66580984,401,"*",4.69496796851046,5.69496796851046,0,7.28657880446501,3.1595729737423e-10,5.62998732474128e-08
"14155","19",13169779,13170179,401,"*",4.80351556428465,0,5.80351556428465,-7.31581568355976,3.22875474492826e-10,5.68636271705621e-08
"18115","2",222842527,222842927,401,"*",4.68878562118149,5.68878562118149,0,7.28014967878466,3.31780620966869e-10,5.75824643217768e-08
"22305","3",183765386,183765786,401,"*",5.09564337242876,6.03560007717183,1.47910643893766,4.56649435922595,3.34560732887651e-10,5.75824643217768e-08
"12378","17",4789919,4790319,401,"*",4.69275664817037,5.69275664817037,0,7.28144252079273,3.53314267180064e-10,6.01269425922387e-08
"3948","10",47362222,47362622,401,"*",4.68881630968119,5.68881630968119,0,7.27762320400335,3.7013818308947e-10,6.2290143567479e-08
"17986","2",217331514,217331914,401,"*",4.71601824262432,5.71601824262432,0,7.29489064670836,3.87722107962909e-10,6.45322972220464e-08
"11796","16",57341697,57342097,401,"*",4.67125116403528,5.67125116403528,0,7.26216340945645,3.95057698345194e-10,6.5038520642786e-08
"29993","7",130996862,130997262,401,"*",4.67091263342475,5.67091263342475,0,7.26102199759321,4.04584674272855e-10,6.58907470595341e-08
"16661","2",96832676,96833076,401,"*",5.03098766183116,5.98480646342415,1.04264170595005,4.95016521042131,4.20936689419329e-10,6.78245435951612e-08
"9889","14",75400304,75400704,401,"*",4.69047771596611,5.69047771596611,0,7.26957915038928,4.36425274837319e-10,6.95799706598529e-08
"29363","7",73894866,73895266,401,"*",4.79578379917168,0,5.79578379917168,-7.297466356943,4.43794957732147e-10,7.00179003105323e-08
"4319","10",73871953,73872353,401,"*",5.38969199843403,6.3754439697434,0,6.39959834951953,4.52908120190612e-10,7.0719034932031e-08
"12371","17",4521164,4521564,401,"*",4.64434709267922,5.64434709267922,0,7.23730054390086,4.59187285067023e-10,7.09678634655625e-08
"28504","7",20217567,20217967,401,"*",4.80807895266874,5.80807895266874,0,7.34818790875977,4.6450098597705e-10,7.10639589253374e-08
"27279","6",108967056,108967456,401,"*",4.74178533995541,0,5.74178533995541,-7.2576685915315,4.92862097533899e-10,7.46488932924843e-08
"16033","2",47360903,47361303,401,"*",4.78543071106379,0,5.78543071106379,-7.28498991052241,5.07362366048582e-10,7.60842613482359e-08
"9641","14",64806479,64806879,401,"*",4.75237405715903,5.75237405715903,0,7.30510990215539,5.16377506825312e-10,7.66769972389821e-08
"1624","1",109570480,109570880,401,"*",4.63031843258465,5.63031843258465,0,7.2226967048537,5.21745344076177e-10,7.67218930230853e-08
"26805","6",44237419,44237819,401,"*",4.66403692576852,0,5.66403692576852,-7.20246050816028,5.29674650910246e-10,7.71389640642941e-08
"20063","22",38705405,38705805,401,"*",5.39287081424637,0,6.38667712849825,-7.03270516499297,5.41977874093235e-10,7.81790179144393e-08
"13451","18",9838449,9838849,401,"*",4.69729128831576,5.69729128831576,0,7.2672284846827,5.7211381287335e-10,8.17475076394316e-08
"15170","2",9753021,9753421,401,"*",4.6118712109172,5.6118712109172,0,7.2054786655435,5.80813050945262e-10,8.2214901585205e-08
"22609","3",194488506,194488906,401,"*",4.62382000509621,5.62382000509621,0,7.21059925304237,6.0130580226508e-10,8.43275711213603e-08
"10555","15",63019565,63019965,401,"*",4.6052473864318,5.6052473864318,0,7.19885527714621,6.07826602712769e-10,8.4460015822822e-08
"26788","6",43923365,43923765,401,"*",4.66378880504434,0,5.66378880504434,-7.19469772059407,6.29271248150967e-10,8.66449302226777e-08
"29968","7",130008931,130009331,401,"*",5.00408240963726,5.96655415443602,0.720713611062692,5.21453579911451,7.16704393060618e-10,9.72657019324385e-08
"15544","2",27050877,27051277,401,"*",4.717136637246,5.717136637246,0,7.27019617339276,7.30996161850196e-10,9.72657019324385e-08
"15498","2",25311302,25311702,401,"*",4.59752158305155,5.59752158305155,0,7.18626515671343,7.35726133507482e-10,9.72657019324385e-08
"31476","8",121145554,121145954,401,"*",4.60938686567073,5.60938686567073,0,7.19212343681214,7.36547891738267e-10,9.72657019324385e-08
"9717","14",68685680,68686080,401,"*",4.74312701228849,0,5.74312701228849,-7.24456362320896,7.38723343696022e-10,9.72657019324385e-08
"18427","2",237662660,237663060,401,"*",4.57642424151961,5.57642424151961,0,7.17048731513564,7.44937371197865e-10,9.72657019324385e-08
"9867","14",74988161,74988561,401,"*",4.57549382007508,5.57549382007508,0,7.16686750555035,7.91973904022483e-10,1.02523391028415e-07
"29200","7",55043700,55044100,401,"*",4.56820151093325,5.56820151093325,0,7.16081985679367,8.06345812699895e-10,1.03499268467395e-07
"18060","2",219689080,219689480,401,"*",4.56643894862766,5.56643894862766,0,7.15981051877159,8.17283534203189e-10,1.04021650496147e-07
"20468","3",12759172,12759572,401,"*",4.96610658318809,0.526022607884913,5.93248667234493,-5.17221595817438,8.26734604768731e-10,1.04347686031893e-07
"18532","20",2768306,2768706,401,"*",4.57020646930448,5.57020646930448,0,7.16013341552976,8.72966518988096e-10,1.09272321459452e-07
"27721","6",136644101,136644501,401,"*",4.56942395840693,5.56942395840693,0,7.15843292574982,8.85819474840356e-10,1.09587488293951e-07
"29214","7",55186193,55186593,401,"*",4.92772598390973,0,5.92772598390973,-7.35727911156815,8.93332522954653e-10,1.09587488293951e-07
"22310","3",183925033,183925433,401,"*",4.61371265766715,0,5.61371265766715,-7.14617802003872,8.98927536409929e-10,1.09587488293951e-07
"9790","14",71241076,71241476,401,"*",4.5933187712714,0,5.5933187712714,-7.13375886869617,9.04425989485264e-10,1.09587488293951e-07
"1241","1",85544609,85545009,401,"*",4.55319812340479,5.55319812340479,0,7.14473355538785,9.19058773046411e-10,1.09762347484982e-07
"1601","1",109162253,109162653,401,"*",4.61003866507974,5.61003866507974,0,7.18303852370395,9.20425045664756e-10,1.09762347484982e-07
"1356","1",91795957,91796357,401,"*",4.5555908181812,5.5555908181812,0,7.14682217939652,9.34576178678866e-10,1.09762347484982e-07
"12138","16",83802114,83802514,401,"*",4.54540259858617,5.54540259858617,0,7.13905752395413,9.3485691440398e-10,1.09762347484982e-07
"31497","8",122686993,122687393,401,"*",4.54074809804527,5.54074809804527,0,7.13563276102611,9.45555087393047e-10,1.10164441181962e-07
"12251","16",88764965,88765365,401,"*",4.64600304193897,0,5.64600304193897,-7.16289519225626,9.66011377960399e-10,1.11688613210597e-07
"10784","15",80033342,80033742,401,"*",4.56438597007486,5.56438597007486,0,7.15123746071702,9.92939163094437e-10,1.1326880287242e-07
"20319","22",50303760,50304160,401,"*",4.61659339992997,5.61659339992997,0,7.18882342581114,9.94635598972124e-10,1.1326880287242e-07
"15893","2",43305057,43305457,401,"*",5.2807474116767,6.2653758074163,0,6.28981669894336,1.00490003142378e-09,1.1358370056675e-07
"17169","2",128425820,128426220,401,"*",4.55394639788777,5.55394639788777,0,7.1428786616931,1.03437091940288e-09,1.16048755150193e-07
"19811","22",30196156,30196556,401,"*",4.64430154361167,0,5.64430154361167,-7.16227003812596,1.04384360446144e-09,1.16250406126272e-07
"27763","6",137978278,137978678,401,"*",4.59944025744575,5.59944025744575,0,7.16979973134403,1.06231842048639e-09,1.16776684231307e-07
"12259","16",89320288,89320688,401,"*",4.53373109544081,5.53373109544081,0,7.12508762991992,1.06489521074381e-09,1.16776684231307e-07
"22423","3",187063798,187064198,401,"*",4.57359161842009,5.57359161842009,0,7.15165466972879,1.07169939971951e-09,1.16776684231307e-07
"8912","13",98320424,98320824,401,"*",4.54984493822001,5.54984493822001,0,7.13728459082111,1.0968503384614e-09,1.18023233998076e-07
"18102","2",222519060,222519460,401,"*",4.67406390064776,5.67406390064776,0,7.22133089066496,1.10058755888845e-09,1.18023233998076e-07
"22617","3",194579243,194579643,401,"*",4.60592661212769,0,5.60592661212769,-7.13029148095902,1.11193005991491e-09,1.18023233998076e-07
"15548","2",27134501,27134901,401,"*",4.56148354306463,5.56148354306463,0,7.14457530454465,1.11430889091014e-09,1.18023233998076e-07
"11534","16",29944025,29944425,401,"*",4.68740966220512,0,5.68740966220512,-7.18456445155827,1.1363352762373e-09,1.19383851100477e-07
"30315","7",151123887,151124287,401,"*",4.52490011823932,5.52490011823932,0,7.11772277469198,1.14683419995212e-09,1.19383851100477e-07
"16026","2",47310191,47310591,401,"*",4.54016187605633,5.54016187605633,0,7.12726492608656,1.15080168101609e-09,1.19383851100477e-07
"14123","19",12736845,12737245,401,"*",4.58376150488162,0,5.58376150488162,-7.11206899936621,1.19363758084085e-09,1.22985270744324e-07
"404","1",32236125,32236525,401,"*",4.54615270593232,0,5.54615270593232,-7.08754484439629,1.25401628211392e-09,1.28333314924983e-07
"31278","8",102616949,102617349,401,"*",4.61018944235072,5.61018944235072,0,7.16906670398846,1.28140363276159e-09,1.30255969273873e-07
"27268","6",108689250,108689650,401,"*",4.63494163111529,0,5.63494163111529,-7.14329566941529,1.2942420673853e-09,1.30683935684119e-07
"1608","1",109263603,109264003,401,"*",4.5802606506761,0,5.5802606506761,-7.10863131054459,1.34043528198176e-09,1.34451872721164e-07
"22339","3",184334377,184334777,401,"*",4.55891836724092,0,5.55891836724092,-7.09499345346897,1.35004873977263e-09,1.34525251398659e-07
"33854","X",115649497,115649897,401,"*",4.50190585926684,5.50190585926684,0,7.09288698980021,1.3592219723842e-09,1.34554091462295e-07
"27687","6",134436153,134436553,401,"*",4.58740721894309,5.58740721894309,0,7.15005886168528,1.38501857739488e-09,1.36217476449499e-07
"26317","6",11921009,11921409,401,"*",4.52374138105003,5.52374138105003,0,7.10624112424947,1.42489235030123e-09,1.39234964759113e-07
"10152","14",101552725,101553125,401,"*",4.50518303542189,5.50518303542189,0,7.09484927448525,1.4508064989886e-09,1.39527781503783e-07
"17368","2",158723859,158724259,401,"*",4.52263325487799,5.52263325487799,0,7.10466045746405,1.45218531996153e-09,1.39527781503783e-07
"32711","9",105912850,105913250,401,"*",4.54843140653273,5.54843140653273,0,7.12283176957657,1.45552551680957e-09,1.39527781503783e-07
"21317","3",112646816,112647216,401,"*",4.52788004834322,5.52788004834322,0,7.10640456001773,1.48926727659352e-09,1.41864416171606e-07
"24823","5",87099543,87099943,401,"*",4.50212397094022,5.50212397094022,0,7.08931853679781,1.50992391938086e-09,1.42933173018391e-07
"26376","6",14743914,14744314,401,"*",4.47103960535089,5.47103960535089,0,7.06667043766852,1.56845404813222e-09,1.47039142964308e-07
"22564","3",193782274,193782674,401,"*",4.58184987343116,5.58184987343116,0,7.14480420234579,1.58439340648346e-09,1.47039142964308e-07
"32636","9",99019669,99020069,401,"*",4.51286163590389,5.51286163590389,0,7.09468098415251,1.58837832532144e-09,1.47039142964308e-07
"15976","2",46408918,46409318,401,"*",4.65828756855816,5.65828756855816,0,7.19634650148782,1.5983681782237e-09,1.47039142964308e-07
"19920","22",35430861,35431261,401,"*",4.5280512677734,0,5.5280512677734,-7.06078875629026,1.60656493291042e-09,1.47039142964308e-07
"24224","5",33148225,33148625,401,"*",4.46956464992302,5.46956464992302,0,7.06460716905097,1.61154745359006e-09,1.47039142964308e-07
"29552","7",92916730,92917130,401,"*",4.46730861976971,5.46730861976971,0,7.06240712720922,1.64172430249569e-09,1.48895546620358e-07
"6900","11",129828387,129828787,401,"*",4.46155153737357,5.46155153737357,0,7.05693653476539,1.68757590041987e-09,1.52069472205156e-07
"6902","11",129846397,129846797,401,"*",4.64813260140186,5.64813260140186,0,7.18596468805096,1.69680052836864e-09,1.52069472205156e-07
"32578","9",96566378,96566778,401,"*",4.55166782476945,5.55166782476945,0,7.11675675381146,1.76550659947679e-09,1.55371643280649e-07
"14808","19",48543327,48543727,401,"*",4.87975561604485,0.597928037015899,5.8421867214456,-4.86218589616223,1.77015201565888e-09,1.55371643280649e-07
"22458","3",188295046,188295446,401,"*",4.49765020031605,5.49765020031605,0,7.07914661916597,1.77328165198907e-09,1.55371643280649e-07
"8512","13",33152369,33152769,401,"*",4.47494762957324,5.47494762957324,0,7.06274039409938,1.77467940628234e-09,1.55371643280649e-07
"22505","3",190322277,190322677,401,"*",4.52437175321959,5.52437175321959,0,7.09626061130378,1.79886258788791e-09,1.56583751472128e-07
"15646","2",30273194,30273594,401,"*",4.52953415067039,5.52953415067039,0,7.0977293446703,1.85637694394317e-09,1.60666772531219e-07
"4350","10",75359058,75359458,401,"*",4.47741363490734,5.47741363490734,0,7.06196562338252,1.90567192613979e-09,1.63996062462008e-07
"29191","7",54961455,54961855,401,"*",4.4989929340777,5.4989929340777,0,7.07659874991239,1.97718818062909e-09,1.67681136221165e-07
"22212","3",178518593,178518993,401,"*",4.46400466500598,5.46400466500598,0,7.05053004026039,1.98040098885483e-09,1.67681136221165e-07
"31949","8",143970625,143971025,401,"*",4.48938978468799,0,5.48938978468799,-7.02612852653564,1.98435978354138e-09,1.67681136221165e-07
"15912","2",44167834,44168234,401,"*",4.53722874478873,0,5.53722874478873,-7.05878468087521,1.99277726923344e-09,1.67681136221165e-07
"32988","9",121972432,121972832,401,"*",4.50459189585574,5.50459189585574,0,7.0767413430651,2.03208210518883e-09,1.68949253156698e-07
"9688","14",67619557,67619957,401,"*",4.544455561513,0,5.544455561513,-7.06246088183107,2.03801448324409e-09,1.68949253156698e-07
"21708","3",138921764,138922164,401,"*",4.51862276661574,5.51862276661574,0,7.08613182051189,2.04131211723727e-09,1.68949253156698e-07
"30057","7",134533378,134533778,401,"*",4.44449081591168,5.44449081591168,0,7.03755504335534,2.07096916859277e-09,1.70472277323403e-07
"22704","3",196942310,196942710,401,"*",4.43308470371074,5.43308470371074,0,7.02803244123828,2.11919420581878e-09,1.72111663711462e-07
"27823","6",142756260,142756660,401,"*",4.45110504416171,5.45110504416171,0,7.04118480900668,2.13073575518347e-09,1.72111663711462e-07
"2802","1",202056930,202057330,401,"*",4.43897787402136,5.43897787402136,0,7.03149194947999,2.13155022256284e-09,1.72111663711462e-07
"20043","22",38181753,38182153,401,"*",4.69194119776128,0,5.69194119776128,-7.15910492548534,2.13633915078271e-09,1.72111663711462e-07
"836","1",54016297,54016697,401,"*",4.50358358668089,5.50358358668089,0,7.07672068539811,2.17234183806408e-09,1.74086187721262e-07
"29770","7",107952513,107952913,401,"*",4.45767438398901,5.45767438398901,0,7.04147494211096,2.23089038682634e-09,1.77213620952858e-07
"27841","6",143397405,143397805,401,"*",4.49214618164945,5.49214618164945,0,7.06840118004567,2.25294422494454e-09,1.77213620952858e-07
"7206","12",12979638,12980038,401,"*",4.46196418569217,5.46196418569217,0,7.04432594511797,2.25810114508936e-09,1.77213620952858e-07
"29052","7",46291033,46291433,401,"*",4.42135354936471,5.42135354936471,0,7.01652511433347,2.25816907724162e-09,1.77213620952858e-07
"28452","7",16318977,16319377,401,"*",4.53170573067371,5.53170573067371,0,7.09263291067363,2.29749704256096e-09,1.79096761132554e-07
"31200","8",100458643,100459043,401,"*",4.52504818338656,0,5.52504818338656,-7.04204184384767,2.30581463230212e-09,1.79096761132554e-07
"31616","8",126579878,126580278,401,"*",4.41948628750282,5.41948628750282,0,7.01493398429172,2.31859844235115e-09,1.79170877591074e-07
"6018","11",67055077,67055477,401,"*",4.47837331106165,0,5.47837331106165,-7.01108110933483,2.36603729940939e-09,1.81908634197231e-07
"22715","3",197367415,197367815,401,"*",4.41387677586053,5.41387677586053,0,7.00774077735839,2.44486969669005e-09,1.8632429350029e-07
"5831","11",62754094,62754494,401,"*",4.50580298986793,0,5.50580298986793,-7.02947401568753,2.44807436990346e-09,1.8632429350029e-07
"20292","22",49487886,49488286,401,"*",4.41997351435429,5.41997351435429,0,7.01264633126042,2.46379882120507e-09,1.8658348472986e-07
"7112","12",7068675,7069075,401,"*",4.74696332304633,5.7073227855487,0.541542398882078,5.01332618772406,2.62344994203838e-09,1.97685436925937e-07
"6182","11",73309185,73309585,401,"*",4.52533022584374,0,5.52533022584374,-7.03516071760782,2.66519499369716e-09,1.99836848388798e-07
"23960","5",1789809,1790209,401,"*",4.49036048201299,5.49036048201299,0,7.05445570426715,2.72583243893081e-09,2.01686543366913e-07
"14621","19",42396855,42397255,401,"*",5.08325303767327,6.00512034608533,1.83766675035812,3.96488233488996,2.72700422311856e-09,2.01686543366913e-07
"2490","1",172917967,172918367,401,"*",4.41617045636034,5.41617045636034,0,7.00653721834142,2.72981258353473e-09,2.01686543366913e-07
"31649","8",127833096,127833496,401,"*",4.41575130745132,5.41575130745132,0,7.00265423130145,2.79095659587108e-09,2.04507889402339e-07
